/enOut X,/enOut Y
0,0
1.6e-07,0
4.800000000000001e-07,0
1.12e-06,0
2.400000000000001e-06,0
4.960000000000002e-06,0
8.160000000000001e-06,0
1.136e-05,0
1.456e-05,0
1.776e-05,0
2e-05,0
2.0003125e-05,0
2.000802017029902e-05,0
2.000893283846057e-05,0
2.001075817478366e-05,0
2.00112337016426e-05,0
2.001218475536048e-05,0
2.001311250358179e-05,0
2.001357637769245e-05,0
2.001450412591376e-05,0
2.001597726834049e-05,0
2.001843994582869e-05,0
2.00197700157253e-05,0
2.002067061074845e-05,0
2.002169765051092e-05,0
2.002252868512483e-05,0
2.0023355625735e-05,0
2.002405316652867e-05,0
2.002492952260829e-05,0
2.00257819810529e-05,0
2.00267245692582e-05,0
2.002764780530036e-05,0
2.00285375647945e-05,0
2.002958344862345e-05,0
2.003167521628135e-05,0
2.003363548049215e-05,0
2.003685396235118e-05,0
2.003783614924992e-05,0
2.003980052304741e-05,0
2.004078270994615e-05,0
2.004274708374364e-05,0
2.004667583133862e-05,0
2.005e-05,0
2.005089156824939e-05,0
2.005249523934578e-05,0
2.00539289242214e-05,0
2.005679629397264e-05,0
2.006253103347513e-05,0
2.00740005124801e-05,0
2.009693947049005e-05,0
2.014281738650993e-05,0
2.02e-05,0
2.02065443834037e-05,0
2.021963315021109e-05,0
2.02236774658609e-05,0
2.02256996236858e-05,0
2.02297439393356e-05,0
2.023783257063521e-05,0
2.025400983323443e-05,0
2.028636435843287e-05,0
2.035107340882975e-05,0
2.048049150962351e-05,0
2.073932771121102e-05,0
2.125700011438606e-05,0
2.229234492073612e-05,0
2.367117246036806e-05,0
2.505e-05,0
2.50625e-05,0
2.506558377690729e-05,0
2.507175133072187e-05,0
2.50729621000708e-05,0
2.507425309084691e-05,0
2.507466642456737e-05,0
2.507549309200831e-05,0
2.507627822620641e-05,0
2.507706569385041e-05,0
2.507785784039557e-05,0
2.507890356213606e-05,0
2.507964195580179e-05,0
2.508036734047794e-05,0
2.508136758716523e-05,0
2.508209087405198e-05,0
2.508304269943367e-05,0
2.508429589493362e-05,0
2.508608449588317e-05,0
2.508810801850859e-05,0
2.509113747961164e-05,0
2.509410387974924e-05,0
2.509705193987462e-05,0
2.51e-05,0
2.510084693725782e-05,0
2.5102300935861e-05,0
2.510363846663064e-05,0
2.510631352816992e-05,0
2.511166365124848e-05,0
2.512236389740559e-05,0
2.514376438971982e-05,0
2.518656537434829e-05,0
2.527216734360521e-05,0
2.544337128211905e-05,0
2.578577915914674e-05,0
2.647059491320212e-05,0
2.784022642131288e-05,0
3e-05,0
3.00125e-05,0.4500000000000109
3.001558381198432e-05,0.5610172314354051
3.001712571797648e-05,0.6165258471531023
3.001887629193474e-05,0.6795465096505882
3.001989878537766e-05,0.7163562735956519
3.002077321268064e-05,0.7478356565030321
3.00217140735749e-05,0.7817066486962687
3.002249248818369e-05,0.8097295746127851
3.002317493010137e-05,0.8342974836490415
3.002402575289222e-05,0.8649271041197357
3.002473125786343e-05,0.8903252830833871
3.002556017037802e-05,0.920166133608726
3.002633750802768e-05,0.9481502889962188
3.002729505245622e-05,0.9826218884238124
3.002817140368096e-05,1.014170532514407
3.002912676021658e-05,1.048563367796892
3.003078583956662e-05,1.108290224398012
3.003242279716902e-05,1.167220698084683
3.003569671237384e-05,1.285081645458025
3.003876799475723e-05,1.395647811260211
3.00400459988998e-05,1.441655960392722
3.004260200718494e-05,1.533672258657745
3.004630100359247e-05,1.666836129328894
3.005000000000001e-05,1.8
3.005097577654818e-05,1.8
3.005265111174975e-05,1.8
3.005417887158982e-05,1.8
3.005723439126996e-05,1.8
3.005839609101431e-05,1.8
3.0060719490503e-05,1.8
3.006536628948038e-05,1.8
3.007465988743515e-05,1.8
3.007861133053466e-05,1.8
3.008651421673369e-05,1.8
3.010231998913175e-05,1.8
3.013393153392786e-05,1.8
3.019715462352009e-05,1.8
3.032360080270454e-05,1.8
3.057649316107344e-05,1.8
3.108227787781125e-05,1.8
3.209384731128686e-05,1.8
3.357192365564343e-05,1.8
3.505e-05,1.8
3.506250000000001e-05,1.349999999999989
3.506558381198432e-05,1.238982768564595
3.507175143595295e-05,1.016948305693806
3.507296219571551e-05,0.9733609542417727
3.507427146623068e-05,0.9262272156958378
3.507505510541577e-05,0.8980162050325696
3.507593854923748e-05,0.8662122274509302
3.507691335721005e-05,0.8311191404384305
3.507796272534109e-05,0.7933418877210427
3.507877428060716e-05,0.7641258981425023
3.507963563624908e-05,0.7331170950332733
3.508030881240568e-05,0.7088827533955731
3.508105455281073e-05,0.6820360988140302
3.508180267204669e-05,0.6551038063192229
3.508267698182735e-05,0.6236286542154164
3.508390844221015e-05,0.5792960804349558
3.508529030361782e-05,0.529549069758591
3.508785315911573e-05,0.4372862718337729
3.509022761390378e-05,0.3518058994642219
3.509102147484906e-05,0.3232269054340313
3.509260919673963e-05,0.2660689173736501
3.509578464052076e-05,0.1517529412528875
3.509789232026039e-05,0.07587647062629999
3.510000000000001e-05,0
3.510104165938138e-05,0
3.510229921594676e-05,0
3.510348496269064e-05,0
3.510585645617842e-05,0
